Transcript_ID,KO_IDs,Pathway_IDs,Reaction_IDs,Module_Descriptions,Module_Groups,Module_Prefixes
NODE_77475_length_510_cov_2.702820_g45160_i0,RIOK1; RIO kinase 1 [EC:2.7.11.1],Ribosome biogenesis in eukaryotes,,,,
NODE_77488_length_510_cov_2.245119_g45173_i0,"DICER1, DCR1; endoribonuclease Dicer [EC:3.1.26.-]",MicroRNAs in cancer,,,,
NODE_77508_length_510_cov_1.709328_g45193_i0,CCT5; T-complex protein 1 subunit epsilon,,,,,
NODE_7756_length_3144_cov_21.181906_g3843_i0,TOP3; DNA topoisomerase III [EC:5.6.2.1],Homologous recombination;Fanconi anemia pathway,,Bloom's syndrome complex,Repair system,Genetic information processing
NODE_77581_length_509_cov_1.908696_g45264_i0,E3.1.1.11; pectinesterase [EC:3.1.1.11],Pentose and glucuronate interconversions;Metabolic pathways,pectin pectylhydrolase; Pectin + n H2O <=> n Methanol + Pectate,Pectin degradation,Other carbohydrate metabolism,Carbohydrate and lipid metabolism
NODE_77625_length_508_cov_6.751634_g45307_i0,BRD9; bromodomain-containing protein 9,,,,,
NODE_7763_length_3143_cov_24.478992_g3846_i0,TOPBP1; topoisomerase (DNA) II binding protein 1,Homologous recombination,,,,
NODE_7764_length_3143_cov_20.837104_g1937_i3,"AKT, KAT, GORK, SKOR; potassium channel",,,,,
NODE_77668_length_508_cov_2.039216_g45350_i0,"NUP98, ADAR2, NUP116; nuclear pore complex protein Nup98-Nup96",Nucleocytoplasmic transport;Influenza A,,Nuclear pore complex,RNA processing,Genetic information processing
NODE_77680_length_508_cov_1.788671_g45362_i0,"OVM, ANT; AP2-like factor, ANT lineage",,,,,
NODE_77685_length_508_cov_1.627451_g45367_i0,"UPF1, RENT1; regulator of nonsense transcripts 1 [EC:5.6.2.5 5.6.2.3]",Nucleocytoplasmic transport;mRNA surveillance pathway,,Exon junction complex (EJC),RNA processing,Genetic information processing
NODE_77690_length_508_cov_1.514161_g45372_i0,"XYL4; xylan 1,4-beta-xylosidase [EC:3.2.1.37]",Amino sugar and nucleotide sugar metabolism;Metabolic pathways,"D-xylose xylohydrolase; D-Xylose + 1,4-beta-D-Xylan <=> 1,4-beta-D-Xylan + H2O",,,
NODE_77694_length_508_cov_1.311547_g45376_i0,kup; KUP system potassium uptake protein,,,,,
NODE_77705_length_507_cov_10.187773_g45385_i0,"PABPN1, PABP2; polyadenylate-binding protein 2",mRNA surveillance pathway;Influenza A,,,,
NODE_77709_length_507_cov_6.342795_g45389_i0,CNNM; metal transporter CNNM,,,,,
NODE_77731_length_507_cov_2.443231_g45411_i0,"SLC2A13, ITR; MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13",,,,,
NODE_77761_length_507_cov_1.700873_g45441_i0,"MYBP; transcription factor MYB, plant",,,,,
NODE_77778_length_506_cov_12.700219_g45458_i0,SAUR; SAUR family protein,Plant hormone signal transduction,,,,
NODE_77793_length_506_cov_3.048140_g45471_i0,E3.1.1.11; pectinesterase [EC:3.1.1.11],Pentose and glucuronate interconversions;Metabolic pathways,pectin pectylhydrolase; Pectin + n H2O <=> n Methanol + Pectate,Pectin degradation,Other carbohydrate metabolism,Carbohydrate and lipid metabolism
NODE_77795_length_506_cov_2.978118_g45473_i0,DMC1; meiotic recombination protein DMC1,Meiosis - yeast,,,,
NODE_7779_length_3141_cov_13.597025_g3684_i2,"RPM1, RPS3; disease resistance protein RPM1;SHOC2, SUR8; leucine-rich repeat protein SHOC2",Ras signaling pathway;Plant-pathogen interaction,,,,
NODE_77899_length_505_cov_1.817982_g45576_i0,GBF1; golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,Endocytosis,,,,
NODE_77927_length_504_cov_13.769231_g45602_i0,SAUR; SAUR family protein,Plant hormone signal transduction,,,,
NODE_77928_length_504_cov_12.621978_g45603_i0,NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9,Oxidative phosphorylation;Metabolic pathways;Thermogenesis;Retrograde endocannabinoid signaling;Non-alcoholic fatty liver disease;Alzheimer disease;Parkinson disease;Huntington disease,,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,ATP synthesis,Energy metabolism
NODE_77941_length_504_cov_4.459341_g45616_i0,RNF38_44; E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27],,,,,
NODE_77948_length_504_cov_3.641758_g45623_i0,REEP1_2_3_4; receptor expression-enhancing protein 1/2/3/4,,,,,
NODE_77998_length_504_cov_1.485714_g45673_i0,"SLC2A13, ITR; MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13",,,,,
NODE_7801_length_3137_cov_184.133744_g3237_i3,"SRRM1, SRM160; serine/arginine repetitive matrix protein 1",Nucleocytoplasmic transport;mRNA surveillance pathway,,Exon junction complex (EJC),RNA processing,Genetic information processing
NODE_78041_length_503_cov_2.601322_g45716_i0,"EXOC7, EXO70; exocyst complex component 7",Insulin signaling pathway,,,,
NODE_78049_length_503_cov_2.321586_g45724_i0,PLIN4; perilipin-4,PPAR signaling pathway,,,,
NODE_78052_length_503_cov_2.174009_g45727_i0,E3.1.1.11; pectinesterase [EC:3.1.1.11];PPT; palmitoyl-protein thioesterase [EC:3.1.2.22],Pentose and glucuronate interconversions;Fatty acid elongation;Metabolic pathways;Fatty acid metabolism;Lysosome,palmitoyl-CoA hydrolase; Palmitoyl-CoA + H2O <=> CoA + Hexadecanoic acid;pectin pectylhydrolase; Pectin + n H2O <=> n Methanol + Pectate,Pectin degradation,Other carbohydrate metabolism,Carbohydrate and lipid metabolism
NODE_7808_length_3137_cov_18.468264_g3548_i1,E2.7.1.46; L-arabinokinase [EC:2.7.1.46],Amino sugar and nucleotide sugar metabolism;Metabolic pathways,ATP:L-arabinose 1-phosphotransferase; ATP + L-Arabinose <=> ADP + beta-L-Arabinose 1-phosphate,,,
NODE_78096_length_502_cov_16.973510_g45771_i0,"RPM1, RPS3; disease resistance protein RPM1",Plant-pathogen interaction,,,,
NODE_78119_length_502_cov_3.300221_g45793_i0,HIDH; 2-hydroxyisoflavanone dehydratase [EC:4.2.1.105],Isoflavonoid biosynthesis;Biosynthesis of secondary metabolites,"2-hydroxy-2,3-dihydrogenistein hydro-lyase (genistein-forming); 2-Hydroxy-2,3-dihydrogenistein <=> Genistein + H2O;2,7,4'-trihydroxyisoflavanone hydro-lyase (daidzein-forming); 2,7,4'-Trihydroxyisoflavanone <=> Daidzein + H2O;2,7-dihydroxy-4'-methoxyisoflavanone hydro-lyase (formononetin-forming); 2,7-Dihydroxy-4'-methoxyisoflavanone <=> Formononetin + H2O",,,
NODE_7811_length_3136_cov_83.541626_g3864_i0,"ETR, ERS; ethylene receptor [EC:2.7.13.-]",MAPK signaling pathway - plant;Plant hormone signal transduction,,,,
NODE_7814_length_3136_cov_23.106252_g3866_i0,"ETR, ERS; ethylene receptor [EC:2.7.13.-]",MAPK signaling pathway - plant;Plant hormone signal transduction,,,,
NODE_78152_length_502_cov_1.944812_g45826_i0,KCS; 3-ketoacyl-CoA synthase [EC:2.3.1.199],Fatty acid elongation;Biosynthesis of secondary metabolites,acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating); Malonyl-CoA + Acyl-CoA <=> 3-Oxoacyl-CoA + CoA + CO2;very-long-chain acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating); Very-long-chain acyl-CoA + Malonyl-CoA <=> Very-long-chain 3-oxoacyl-CoA + CO2 + CoA,"Fatty acid biosynthesis, elongation, endoplasmic reticulum",Fatty acid metabolism,Carbohydrate and lipid metabolism
NODE_7818_length_3135_cov_6.207712_g3869_i0,"RPM1, RPS3; disease resistance protein RPM1",Plant-pathogen interaction,,,,
NODE_78196_length_501_cov_5.473451_g45869_i0,IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1];FLS2; LRR receptor-like serine/threonine-protein kinase FLS2 [EC:2.7.11.1],MAPK signaling pathway;MAPK signaling pathway - plant;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;Toll and Imd signaling pathway;Plant-pathogen interaction;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Influenza A,,M00686,,
NODE_78211_length_501_cov_3.227876_g45884_i0,IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1],MAPK signaling pathway;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;Toll and Imd signaling pathway;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Influenza A,,M00686,,
NODE_78226_length_501_cov_2.646018_g45899_i0,"EXOC7, EXO70; exocyst complex component 7",Insulin signaling pathway,,,,
NODE_78236_length_501_cov_2.064159_g45909_i0,E2.4.1.207; xyloglucan:xyloglucosyl transferase [EC:2.4.1.207],,,,,
NODE_7824_length_3133_cov_196.848898_g2826_i1,PLD1_2; phospholipase D1/2 [EC:3.1.4.4],Glycerophospholipid metabolism;Ether lipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Ras signaling pathway;cAMP signaling pathway;Sphingolipid signaling pathway;Phospholipase D signaling pathway;Endocytosis;Fc gamma R-mediated phagocytosis;Glutamatergic synapse;GnRH signaling pathway;Choline metabolism in cancer,phosphatidylcholine phosphatidohydrolase; Phosphatidylcholine + H2O <=> Phosphatidate + Choline;phosphatidylethanolamine phosphatidohydrolase; Phosphatidylethanolamine + H2O <=> Ethanolamine + Phosphatidate;O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine + H2O <=> 2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphate + Ethanolamine,,,
NODE_7825_length_3133_cov_187.130674_g3870_i0,"E3.2.1.6; endo-1,3(4)-beta-glucanase [EC:3.2.1.6]",,,,,
NODE_782_length_5699_cov_66.553274_g270_i1,"ARFGEF, BIG; brefeldin A-inhibited guanine nucleotide-exchange protein",Endocytosis,,,,
NODE_7830_length_3133_cov_7.559339_g3873_i0,SUS; sucrose synthase [EC:2.4.1.13],Starch and sucrose metabolism;Metabolic pathways,UDP-glucose:D-fructose 2-alpha-D-glucosyltransferase; UDP-glucose + D-Fructose <=> UDP + Sucrose,,,
NODE_7832_length_3132_cov_339.481349_g1156_i3,PRR9; pseudo-response regulator 9;PRR5; pseudo-response regulator 5,Circadian rhythm - plant,,,,
NODE_78335_length_500_cov_1.700665_g46007_i0,CNBP; cellular nucleic acid-binding protein,,,,,
NODE_78357_length_499_cov_20.766667_g46029_i0,RPS2; disease resistance protein RPS2,Plant-pathogen interaction,,,,
NODE_7835_length_3132_cov_105.734350_g3875_i0,LUP4; beta-amyrin synthase [EC:5.4.99.39];PSM; alpha/beta-amyrin synthase [EC:5.4.99.40 5.4.99.39];TTS2; delta/alpha/beta-amyrin synthase [EC:5.4.99.55 5.4.99.40 5.4.99.39],Sesquiterpenoid and triterpenoid biosynthesis;Biosynthesis of secondary metabolites,"(3S)-2,3-epoxy-2,3-dihydrosqualene mutase (cyclizing, beta-amyrin-forming); (S)-2,3-Epoxysqualene <=> beta-Amyrin;(3S)-2,3-epoxy-2,3-dihydrosqualene mutase (cyclizing, alpha-amyrin-forming); (S)-2,3-Epoxysqualene <=> alpha-Amyrin",,,
NODE_78379_length_499_cov_3.682222_g46051_i0,E1.11.1.7; peroxidase [EC:1.11.1.7],Phenylpropanoid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,methanol:hydrogen-peroxide oxidoreductase; Methanol + Hydrogen peroxide <=> Formaldehyde + 2 H2O;donor:hydrogen-peroxide oxidoreductase; Coniferyl alcohol <=> Guaiacyl lignin;donor:hydrogen-peroxide oxidoreductase; Sinapyl alcohol <=> Syringyl lignin;donor:hydrogen-peroxide oxidoreductase; 4-Coumaryl alcohol <=> p-Hydroxyphenyl lignin;donor:hydrogen-peroxide oxidoreductase; 5-Hydroxyconiferyl alcohol <=> 5-Hydroxy-guaiacyl lignin,,,
NODE_7838_length_3131_cov_778.682674_g2988_i5,NBR1; next to BRCA1 gene 1 protein,Mitophagy - animal,,,,
NODE_78411_length_499_cov_1.786667_g46083_i0,"GST, gst; glutathione S-transferase [EC:2.5.1.18]",Glutathione metabolism;Metabolism of xenobiotics by cytochrome P450;Drug metabolism - cytochrome P450;Drug metabolism - other enzymes;Platinum drug resistance;Pathways in cancer;Chemical carcinogenesis - DNA adducts;Hepatocellular carcinoma;Fluid shear stress and atherosclerosis,"RX:glutathione R-transferase; RX + Glutathione <=> Halide + R-S-Glutathione;(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene glutathione-lyase (epoxide-forming); (1R,2S)-Naphthalene 1,2-oxide + Glutathione <=> (1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene;(1R)-glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene glutathione-lyase (epoxide-forming); (1S,2R)-Naphthalene 1,2-oxide + Glutathione <=> (1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene;(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene glutathione-lyase (epoxide-forming); (1S,2R)-Naphthalene 1,2-oxide + Glutathione <=> (1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene;1-nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene glutathione-lyase (epoxide-forming); 1-Nitronaphthalene-7,8-oxide + Glutathione <=> 1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene;1-nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene glutathione-lyase (epoxide-forming); 1-Nitronaphthalene-7,8-oxide + Glutathione <=> 1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene;1-nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene glutathione-lyase (epoxide-forming); 1-Nitronaphthalene-5,6-oxide + Glutathione <=> 1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene;1-nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene glutathione-lyase (epoxide-forming); 1-Nitronaphthalene-5,6-oxide + Glutathione <=> 1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene;3,4-dihydro-3-hydroxy-4-S-glutathionyl bromobenzene glutathione-lyase (epoxide-forming); Bromobenzene-3,4-oxide + Glutathione <=> 3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene;2,3-dihydro-2-S-glutathionyl-3-hydroxy bromobenzene glutathione-lyase (epoxide-forming); Bromobenzene-2,3-oxide + Glutathione <=> 2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene;4,5-dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene glutathione-lyase (epoxide-forming); Benzo[a]pyrene-4,5-oxide + Glutathione <=> 4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene;7,8-dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene hydrolase; Benzo[a]pyrene-7,8-dihydrodiol + Glutathione <=> 7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene + H2O;S-(2,2-dichloro-1-hydroxy)ethyl-glutathione 2,2-dichloroacetaldehyde-lyase (glutathione-forming); 2,2-Dichloroacetaldehyde + Glutathione <=> S-(2,2-Dichloro-1-hydroxy)ethyl glutathione;1,1-dichloroethylene-epoxide:glutathione S-(chloroepoxyethyl)transferase [2-(S-glutathionyl)acetyl-chloride-forming]; 1,1-Dichloroethylene epoxide + Glutathione <=> 2-(S-Glutathionyl)acetyl chloride + Hydrochloric acid;chloroacetyl-chloride:glutathione S-chloroacetyltransferase; Chloroacetyl chloride + Glutathione <=> S-(2-Chloroacetyl)glutathione + Hydrochloric acid;2-(S-glutathionyl)acetyl-chloride:glutathione 2-(S-glutathionyl)acetyltransferase; 2-(S-Glutathionyl)acetyl chloride + Glutathione <=> 2-(S-Glutathionyl)acetyl glutathione + Hydrochloric acid;trichloroethene:glutathione S-(1,2-dichlorovinyl)transferase; Trichloroethene + Glutathione <=> S-(1,2-Dichlorovinyl)glutathione + Hydrochloric acid;1,2-dibromoethane:glutathione ethylenetransferase (episulfonium-forming); 1,2-Dibromoethane + Glutathione + H+ <=> Glutathione episulfonium ion + 2 Hydrobromic acid;2-bromoacetaldehyde:glutathione S-(formylmethyl)transferase; 2-Bromoacetaldehyde + Glutathione <=> S-(Formylmethyl)glutathione + Hydrobromic acid;4-glutathionyl cyclophosphamide hydrolase; Aldophosphamide + Glutathione <=> 4-Glutathionyl cyclophosphamide + H2O;glutathione-S-transferase; Aflatoxin B1-exo-8,9-epoxide + Glutathione <=> Aflatoxin B1exo-8,9-epoxide-GSH;Hepatotoxins + Glutathione <=> R-S-Glutathione",,,
NODE_7841_length_3131_cov_252.178456_g3878_i0,"SF3A1, SAP114; splicing factor 3A subunit 1",Spliceosome,,"Spliceosome, U2-snRNP",Spliceosome,Genetic information processing
NODE_7842_length_3131_cov_146.645036_g3879_i0,"PLAA, DOA1, UFD3; phospholipase A-2-activating protein",Protein processing in endoplasmic reticulum,,,,
NODE_7843_length_3131_cov_142.525633_g2418_i2,"EXOC1, SEC3; exocyst complex component 1",,,,,
NODE_7844_length_3131_cov_132.195652_g1393_i1,AFG3; AFG3 family protein [EC:3.4.24.-],,,,,
NODE_78456_length_498_cov_3.276169_g46128_i0,EBM; mannosylglycoprotein endo-beta-mannosidase [EC:3.2.1.152],,,,,
NODE_78466_length_498_cov_2.639198_g46138_i0,"SHOC2, SUR8; leucine-rich repeat protein SHOC2",Ras signaling pathway,,,,
NODE_78483_length_498_cov_1.721604_g46155_i0,"RP-L3e, RPL3; large subunit ribosomal protein L3e;STX6; syntaxin 6;PEX6, PXAAA1; peroxin-6",Ribosome;SNARE interactions in vesicular transport;Peroxisome,,"Ribosome, eukaryotes",Ribosome,Genetic information processing
NODE_78495_length_498_cov_1.142539_g46167_i0,E3.1.1.11; pectinesterase [EC:3.1.1.11],Pentose and glucuronate interconversions;Metabolic pathways,pectin pectylhydrolase; Pectin + n H2O <=> n Methanol + Pectate,Pectin degradation,Other carbohydrate metabolism,Carbohydrate and lipid metabolism
NODE_7853_length_3130_cov_163.034729_g3882_i0,"WNK, PRKWNK; WNK lysine deficient protein kinase [EC:2.7.11.1]",,,,,
NODE_78542_length_497_cov_2.345982_g46214_i0,RNASET2; ribonuclease T2 [EC:4.6.1.19],,,,,
NODE_7857_length_3130_cov_56.531970_g3884_i0,CSLC4; xyloglucan glycosyltransferase 4 [EC:2.4.1.-],,,,,
NODE_785_length_5696_cov_82.552329_g376_i0,"ABCC2; ATP-binding cassette, subfamily C (CFTR/MRP), member 2",Antifolate resistance;Platinum drug resistance;ABC transporters;Bile secretion,,,,
NODE_78634_length_496_cov_2.404922_g46302_i0,TTP; tristetraprolin;ZFP36L; butyrate response factor,Cellular senescence;Human T-cell leukemia virus 1 infection;Kaposi sarcoma-associated herpesvirus infection,,,,
NODE_78656_length_496_cov_1.789709_g46324_i0,"RPM1, RPS3; disease resistance protein RPM1",Plant-pathogen interaction,,,,
NODE_78695_length_495_cov_5.365471_g46362_i0,RPS2; disease resistance protein RPS2,Plant-pathogen interaction,,,,
NODE_78703_length_495_cov_3.726457_g46370_i0,ZGLP1; GATA-type zinc finger protein 1,,,,,
NODE_78709_length_495_cov_3.248879_g46376_i0,"SLC50A, SWEET; solute carrier family 50 (sugar transporter)",,,,,
NODE_78733_length_495_cov_2.132287_g46400_i0,"E2.7.1.4, scrK; fructokinase [EC:2.7.1.4]",Fructose and mannose metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways,ATP:D-fructose 6-phosphotransferase; ATP + D-Fructose <=> ADP + D-Fructose 6-phosphate;ATP:D-fructose 6-phosphotransferase; ATP + D-Fructose <=> ADP + beta-D-Fructose 6-phosphate;ATP:D-fructose 6-phosphotransferase; ATP + beta-D-Fructose <=> ADP + beta-D-Fructose 6-phosphate,,,
NODE_78749_length_495_cov_1.677130_g46416_i0,"EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]",cAMP signaling pathway;HIF-1 signaling pathway;FoxO signaling pathway;Cell cycle;Wnt signaling pathway;Notch signaling pathway;TGF-beta signaling pathway;Adherens junction;JAK-STAT signaling pathway;Long-term potentiation;Melanogenesis;Thyroid hormone signaling pathway;Glucagon signaling pathway;Huntington disease;Tuberculosis;Hepatitis B;Influenza A;Human papillomavirus infection;Human T-cell leukemia virus 1 infection;Kaposi sarcoma-associated herpesvirus infection;Herpes simplex virus 1 infection;Epstein-Barr virus infection;Pathways in cancer;Viral carcinogenesis;MicroRNAs in cancer;Renal cell carcinoma;Prostate cancer,,,,
NODE_7874_length_3127_cov_56.142950_g3893_i0,NEDD1; protein NEDD1,,,,,
NODE_7878_length_3127_cov_5.693957_g3895_i0,FRK1; senescence-induced receptor-like serine/threonine-protein kinase,MAPK signaling pathway - plant;Plant-pathogen interaction,,,,
NODE_78796_length_494_cov_2.638202_g46463_i0,TPS1; valencene/7-epi-alpha-selinene synthase [EC:4.2.3.73 4.2.3.86];GERD; (-)-germacrene D synthase [EC:4.2.3.75],Sesquiterpenoid and triterpenoid biosynthesis,"2-trans,6-trans-farnesyl-diphosphate diphosphate-lyase [(-)-germacrene D-forming]; trans,trans-Farnesyl diphosphate <=> (-)-Germacrene D + Diphosphate;trans,trans-farnesyl-diphosphate diphosphate-lyase [cyclizing, (+)-valencene-forming]; (2E,6E)-farnesyl-diphosphate diphosphate-lyase [cyclizing, (+)-valencene-forming]; trans,trans-Farnesyl diphosphate <=> (+)-Valencene + Diphosphate;(2E,6E)-farnesyl-diphosphate diphosphate-lyase (7-epi-alpha-selinene-forming); trans,trans-Farnesyl diphosphate <=> 7-epi-alpha-Selinene + Diphosphate",,,
NODE_7883_length_3126_cov_107.691908_g3270_i2,DNM1L; dynamin 1-like protein [EC:3.6.5.5],Mitophagy - yeast;Apoptosis - fly;Necroptosis;NOD-like receptor signaling pathway;TNF signaling pathway,,,,
NODE_7884_length_3126_cov_81.468313_g3899_i0,cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79],,,,,
NODE_78876_length_493_cov_2.486486_g46542_i0,BRD9; bromodomain-containing protein 9,,,,,
NODE_78878_length_493_cov_2.430180_g46544_i0,HSP20; HSP20 family protein,Protein processing in endoplasmic reticulum,,,,
NODE_7896_length_3124_cov_301.605203_g3907_i0,"AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]","Glycine, serine and threonine metabolism;Tyrosine metabolism;Phenylalanine metabolism;beta-Alanine metabolism;Isoquinoline alkaloid biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites","tyramine:oxygen oxidoreductase(deaminating)(flavin-containing); Tyramine + H2O + Oxygen <=> 4-Hydroxyphenylacetaldehyde + Ammonia + Hydrogen peroxide;aminoacetone:oxygen oxidoreductase(deaminating); Aminoacetone + H2O + Oxygen <=> Methylglyoxal + Ammonia + Hydrogen peroxide;phenethylamine:oxygen oxidoreductase (deaminating); Phenethylamine + Oxygen + H2O <=> Phenylacetaldehyde + Ammonia + Hydrogen peroxide;primary-amine oxidase; 1,3-Diaminopropane + Oxygen + H2O <=> 3-Aminopropanal + Ammonia + Hydrogen peroxide;N-Methylputrescine + Oxygen + H+ <=> 1-Methylpyrrolinium + Hydrogen peroxide + Ammonia;4-(2-aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing); Dopamine + H2O + Oxygen <=> 3,4-Dihydroxyphenylacetaldehyde + Ammonia + Hydrogen peroxide;methylamine:oxygen oxidoreductase (deaminating) (copper-containing); Methylamine + Oxygen + H2O <=> Formaldehyde + Ammonia + Hydrogen peroxide;Cadaverine + H2O + Oxygen <=> 5-Aminopentanal + Ammonia + Hydrogen peroxide",,,
NODE_78978_length_492_cov_2.178330_g46642_i0,BET1; blocked early in transport 1,SNARE interactions in vesicular transport,,,,
NODE_7897_length_3124_cov_215.303415_g3908_i0,"SLC35E3; solute carrier family 35, member E3",,,,,
NODE_78980_length_492_cov_2.153499_g46644_i0,IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1],MAPK signaling pathway;NF-kappa B signaling pathway;Toll-like receptor signaling pathway;NOD-like receptor signaling pathway;Toll and Imd signaling pathway;Neurotrophin signaling pathway;Pertussis;Leishmaniasis;Chagas disease;Toxoplasmosis;Tuberculosis;Measles;Influenza A,,M00686,,
NODE_7899_length_3124_cov_97.556423_g3910_i0,"B3GALT1S; beta-1,3-galactosyltransferase 1/2/3/4/5/7/8 [EC:2.4.1.-]",,,,,
NODE_78_length_8966_cov_24.101379_g32_i0,UTP20; U3 small nucleolar RNA-associated protein 20,,,,,
NODE_79013_length_492_cov_1.288939_g46677_i0,LBD29; LOB domain-containing protein 29;LBD18; LOB domain-containing protein 18,,,,,
NODE_79030_length_491_cov_6.864253_g46693_i0,UGT85A23_24; 7-deoxyloganetin glucosyltransferase [EC:2.4.1.324],,,,,
NODE_79036_length_491_cov_4.805430_g46699_i0,EPF1_2; protein EPIDERMAL PATTERNING FACTOR 1/2,MAPK signaling pathway - plant,,,,
NODE_79095_length_491_cov_1.366516_g46758_i0,BET1; blocked early in transport 1,SNARE interactions in vesicular transport,,,,
